#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=6.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 10:25:46
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(6)' coupled to the particle 'H-'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i1: Fixed value 8000.0000
#              T_i4: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i4: 10 calculated values between 1.0000e+14 and 1.0000e+16

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i4          POP_COEFF      
   7.7426        2.7826e+18    5.9948e+15    1.00266593e-23     
   7.7426        2.7826e+18    1.0000e+16    1.00266593e-23     
   7.7426        4.6416e+18    1.0000e+14    1.07126543e-23     
   7.7426        4.6416e+18    1.6681e+14    1.07126543e-23     
   7.7426        4.6416e+18    2.7826e+14    1.07126543e-23     
   7.7426        4.6416e+18    4.6416e+14    1.07126543e-23     
   7.7426        4.6416e+18    7.7426e+14    1.07126543e-23     
   7.7426        4.6416e+18    1.2915e+15    1.07126543e-23     
   7.7426        4.6416e+18    2.1544e+15    1.07126543e-23     
   7.7426        4.6416e+18    3.5938e+15    1.07126543e-23     
   7.7426        4.6416e+18    5.9948e+15    1.07126543e-23     
   7.7426        4.6416e+18    1.0000e+16    1.07126543e-23     
   7.7426        7.7426e+18    1.0000e+14    1.04873956e-23     
   7.7426        7.7426e+18    1.6681e+14    1.04873956e-23     
   7.7426        7.7426e+18    2.7826e+14    1.04873956e-23     
   7.7426        7.7426e+18    4.6416e+14    1.04873956e-23     
   7.7426        7.7426e+18    7.7426e+14    1.04873956e-23     
   7.7426        7.7426e+18    1.2915e+15    1.04873956e-23     
   7.7426        7.7426e+18    2.1544e+15    1.04873956e-23     
   7.7426        7.7426e+18    3.5938e+15    1.04873956e-23     
   7.7426        7.7426e+18    5.9948e+15    1.04873956e-23     
   7.7426        7.7426e+18    1.0000e+16    1.04873956e-23     
   7.7426        1.2915e+19    1.0000e+14    9.39035080e-24     
   7.7426        1.2915e+19    1.6681e+14    9.39035080e-24     
   7.7426        1.2915e+19    2.7826e+14    9.39035080e-24     
   7.7426        1.2915e+19    4.6416e+14    9.39035080e-24     
   7.7426        1.2915e+19    7.7426e+14    9.39035080e-24     
   7.7426        1.2915e+19    1.2915e+15    9.39035080e-24     
   7.7426        1.2915e+19    2.1544e+15    9.39035080e-24     
   7.7426        1.2915e+19    3.5938e+15    9.39035080e-24     
   7.7426        1.2915e+19    5.9948e+15    9.39035080e-24     
   7.7426        1.2915e+19    1.0000e+16    9.39035080e-24     
   7.7426        2.1544e+19    1.0000e+14    7.70388545e-24     
   7.7426        2.1544e+19    1.6681e+14    7.70388545e-24     
   7.7426        2.1544e+19    2.7826e+14    7.70388545e-24     
   7.7426        2.1544e+19    4.6416e+14    7.70388545e-24     
   7.7426        2.1544e+19    7.7426e+14    7.70388545e-24     
   7.7426        2.1544e+19    1.2915e+15    7.70388545e-24     
   7.7426        2.1544e+19    2.1544e+15    7.70388545e-24     
   7.7426        2.1544e+19    3.5938e+15    7.70388545e-24     
   7.7426        2.1544e+19    5.9948e+15    7.70388545e-24     
   7.7426        2.1544e+19    1.0000e+16    7.70388545e-24     
   7.7426        3.5938e+19    1.0000e+14    5.83135058e-24     
   7.7426        3.5938e+19    1.6681e+14    5.83135058e-24     
   7.7426        3.5938e+19    2.7826e+14    5.83135058e-24     
   7.7426        3.5938e+19    4.6416e+14    5.83135058e-24     
   7.7426        3.5938e+19    7.7426e+14    5.83135058e-24     
   7.7426        3.5938e+19    1.2915e+15    5.83135058e-24     
   7.7426        3.5938e+19    2.1544e+15    5.83135058e-24     
   7.7426        3.5938e+19    3.5938e+15    5.83135058e-24     
   7.7426        3.5938e+19    5.9948e+15    5.83135058e-24     
   7.7426        3.5938e+19    1.0000e+16    5.83135058e-24     
   7.7426        5.9948e+19    1.0000e+14    4.12336169e-24     
   7.7426        5.9948e+19    1.6681e+14    4.12336169e-24     
   7.7426        5.9948e+19    2.7826e+14    4.12336169e-24     
   7.7426        5.9948e+19    4.6416e+14    4.12336169e-24     
   7.7426        5.9948e+19    7.7426e+14    4.12336169e-24     
   7.7426        5.9948e+19    1.2915e+15    4.12336169e-24     
   7.7426        5.9948e+19    2.1544e+15    4.12336169e-24     
   7.7426        5.9948e+19    3.5938e+15    4.12336169e-24     
   7.7426        5.9948e+19    5.9948e+15    4.12336169e-24     
   7.7426        5.9948e+19    1.0000e+16    4.12336169e-24     
   7.7426        1.0000e+20    1.0000e+14    2.76640299e-24     
   7.7426        1.0000e+20    1.6681e+14    2.76640299e-24     
   7.7426        1.0000e+20    2.7826e+14    2.76640299e-24     
   7.7426        1.0000e+20    4.6416e+14    2.76640299e-24     
   7.7426        1.0000e+20    7.7426e+14    2.76640299e-24     
   7.7426        1.0000e+20    1.2915e+15    2.76640299e-24     
   7.7426        1.0000e+20    2.1544e+15    2.76640299e-24     
   7.7426        1.0000e+20    3.5938e+15    2.76640299e-24     
   7.7426        1.0000e+20    5.9948e+15    2.76640299e-24     
   7.7426        1.0000e+20    1.0000e+16    2.76640299e-24     
   10.0000       1.0000e+18    1.0000e+14    7.22185592e-24     
   10.0000       1.0000e+18    1.6681e+14    7.22185592e-24     
   10.0000       1.0000e+18    2.7826e+14    7.22185592e-24     
   10.0000       1.0000e+18    4.6416e+14    7.22185592e-24     
   10.0000       1.0000e+18    7.7426e+14    7.22185592e-24     
   10.0000       1.0000e+18    1.2915e+15    7.22185592e-24     
   10.0000       1.0000e+18    2.1544e+15    7.22185592e-24     
   10.0000       1.0000e+18    3.5938e+15    7.22185592e-24     
   10.0000       1.0000e+18    5.9948e+15    7.22185592e-24     
   10.0000       1.0000e+18    1.0000e+16    7.22185592e-24     
   10.0000       1.6681e+18    1.0000e+14    9.01569103e-24     
   10.0000       1.6681e+18    1.6681e+14    9.01569103e-24     
   10.0000       1.6681e+18    2.7826e+14    9.01569103e-24     
   10.0000       1.6681e+18    4.6416e+14    9.01569103e-24     
   10.0000       1.6681e+18    7.7426e+14    9.01569103e-24     
   10.0000       1.6681e+18    1.2915e+15    9.01569103e-24     
   10.0000       1.6681e+18    2.1544e+15    9.01569103e-24     
   10.0000       1.6681e+18    3.5938e+15    9.01569103e-24     
   10.0000       1.6681e+18    5.9948e+15    9.01569103e-24     
   10.0000       1.6681e+18    1.0000e+16    9.01569103e-24     
   10.0000       2.7826e+18    1.0000e+14    1.04584341e-23     
   10.0000       2.7826e+18    1.6681e+14    1.04584341e-23     
   10.0000       2.7826e+18    2.7826e+14    1.04584341e-23     
   10.0000       2.7826e+18    4.6416e+14    1.04584341e-23     
   10.0000       2.7826e+18    7.7426e+14    1.04584341e-23     
   10.0000       2.7826e+18    1.2915e+15    1.04584341e-23     
   10.0000       2.7826e+18    2.1544e+15    1.04584341e-23     
   10.0000       2.7826e+18    3.5938e+15    1.04584341e-23     
   10.0000       2.7826e+18    5.9948e+15    1.04584341e-23     
   10.0000       2.7826e+18    1.0000e+16    1.04584341e-23     
   10.0000       4.6416e+18    1.0000e+14    1.11638503e-23     
   10.0000       4.6416e+18    1.6681e+14    1.11638503e-23     
   10.0000       4.6416e+18    2.7826e+14    1.11638503e-23     
   10.0000       4.6416e+18    4.6416e+14    1.11638503e-23     
   10.0000       4.6416e+18    7.7426e+14    1.11638503e-23     
   10.0000       4.6416e+18    1.2915e+15    1.11638503e-23     
   10.0000       4.6416e+18    2.1544e+15    1.11638503e-23     
   10.0000       4.6416e+18    3.5938e+15    1.11638503e-23     
   10.0000       4.6416e+18    5.9948e+15    1.11638503e-23     
   10.0000       4.6416e+18    1.0000e+16    1.11638503e-23     
   10.0000       7.7426e+18    1.0000e+14    1.09103381e-23     
   10.0000       7.7426e+18    1.6681e+14    1.09103381e-23     
   10.0000       7.7426e+18    2.7826e+14    1.09103381e-23     
   10.0000       7.7426e+18    4.6416e+14    1.09103381e-23     
   10.0000       7.7426e+18    7.7426e+14    1.09103381e-23     
   10.0000       7.7426e+18    1.2915e+15    1.09103381e-23     
   10.0000       7.7426e+18    2.1544e+15    1.09103381e-23     
   10.0000       7.7426e+18    3.5938e+15    1.09103381e-23     
   10.0000       7.7426e+18    5.9948e+15    1.09103381e-23     
   10.0000       7.7426e+18    1.0000e+16    1.09103381e-23     
   10.0000       1.2915e+19    1.0000e+14    9.74609163e-24     
   10.0000       1.2915e+19    1.6681e+14    9.74609163e-24     
   10.0000       1.2915e+19    2.7826e+14    9.74609163e-24     
   10.0000       1.2915e+19    4.6416e+14    9.74609163e-24     
   10.0000       1.2915e+19    7.7426e+14    9.74609163e-24     
   10.0000       1.2915e+19    1.2915e+15    9.74609163e-24     
   10.0000       1.2915e+19    2.1544e+15    9.74609163e-24     
   10.0000       1.2915e+19    3.5938e+15    9.74609163e-24     
   10.0000       1.2915e+19    5.9948e+15    9.74609163e-24     
   10.0000       1.2915e+19    1.0000e+16    9.74609163e-24     
   10.0000       2.1544e+19    1.0000e+14    7.97443063e-24     
   10.0000       2.1544e+19    1.6681e+14    7.97443063e-24     
   10.0000       2.1544e+19    2.7826e+14    7.97443063e-24     
   10.0000       2.1544e+19    4.6416e+14    7.97443063e-24     
   10.0000       2.1544e+19    7.7426e+14    7.97443063e-24     
   10.0000       2.1544e+19    1.2915e+15    7.97443063e-24     
   10.0000       2.1544e+19    2.1544e+15    7.97443063e-24     
   10.0000       2.1544e+19    3.5938e+15    7.97443063e-24     
   10.0000       2.1544e+19    5.9948e+15    7.97443063e-24     
   10.0000       2.1544e+19    1.0000e+16    7.97443063e-24     
   10.0000       3.5938e+19    1.0000e+14    6.02053778e-24     
   10.0000       3.5938e+19    1.6681e+14    6.02053778e-24     
   10.0000       3.5938e+19    2.7826e+14    6.02053778e-24     
   10.0000       3.5938e+19    4.6416e+14    6.02053778e-24     
   10.0000       3.5938e+19    7.7426e+14    6.02053778e-24     
   10.0000       3.5938e+19    1.2915e+15    6.02053778e-24     
   10.0000       3.5938e+19    2.1544e+15    6.02053778e-24     
   10.0000       3.5938e+19    3.5938e+15    6.02053778e-24     
   10.0000       3.5938e+19    5.9948e+15    6.02053778e-24     
   10.0000       3.5938e+19    1.0000e+16    6.02053778e-24     
   10.0000       5.9948e+19    1.0000e+14    4.24784878e-24     
   10.0000       5.9948e+19    1.6681e+14    4.24784878e-24     
   10.0000       5.9948e+19    2.7826e+14    4.24784878e-24     
   10.0000       5.9948e+19    4.6416e+14    4.24784878e-24     
   10.0000       5.9948e+19    7.7426e+14    4.24784878e-24     
   10.0000       5.9948e+19    1.2915e+15    4.24784878e-24     
   10.0000       5.9948e+19    2.1544e+15    4.24784878e-24     
   10.0000       5.9948e+19    3.5938e+15    4.24784878e-24     
   10.0000       5.9948e+19    5.9948e+15    4.24784878e-24     
   10.0000       5.9948e+19    1.0000e+16    4.24784878e-24     
   10.0000       1.0000e+20    1.0000e+14    2.84524472e-24     
   10.0000       1.0000e+20    1.6681e+14    2.84524472e-24     
   10.0000       1.0000e+20    2.7826e+14    2.84524472e-24     
   10.0000       1.0000e+20    4.6416e+14    2.84524472e-24     
   10.0000       1.0000e+20    7.7426e+14    2.84524472e-24     
   10.0000       1.0000e+20    1.2915e+15    2.84524472e-24     
   10.0000       1.0000e+20    2.1544e+15    2.84524472e-24     
   10.0000       1.0000e+20    3.5938e+15    2.84524472e-24     
   10.0000       1.0000e+20    5.9948e+15    2.84524472e-24     
   10.0000       1.0000e+20    1.0000e+16    2.84524472e-24     
